/***********************************************************
* Ocean Resources and Renewable Energy Laboratory
* Version: v1.0 (Released on May 1st, 2021)
* Programmed by: Jessica Nguyen (Email: nvnguyen@umass.edu)
*----------------------------------------------------------
* Project Name:	NREL_OSWEC_waveenergyprize_column_w_springs_2
* Project Lead:	JD
* Labview Operator:	JD
* Comments:	OSWEC scale model with 5.25" diameter cylindrical foundation and torsional springs. Model centered in window 2,  193.5 in from the start of the tank; probe positions: probe 1 (sonic, front) - 134 in; probe 2 (sonic, alongside) - 193.5 in; probe 3 (staff, back) - 274.5 in ; probe 4 (staff, back) - 332.5 in. Data aquisition specifications: wave start time: 0 s; wave end time: 40 s; delta t: 0.05; ramp time: 3 s; end time delay: 20 s; sampling rate: 2 ms; Kislter force (x,y,z) calibration: 0.2222 V/N; Kislter moment (x,y,z) calibration: 0.2222 V/Nm; 
* Date and Time:	Fri 11 Jun 2021 11:34:12 AM EDT
***********************************************************/

"Time(s)"	"ActuatorPos(mm)"	"WP1(m)"	"WP2(m)"	"WP3(m)"	"WP4(m)"	"Roll(deg)"	"Pitch(deg)"	"ForceX(N)"	"ForceY(N)"	"ForceZ(N)"	"MomentX"	"MomentY"	"MomentZ"	
0.00000	-0.00004	-1.96465	-1.96050	-0.47320	-0.36784	-1.26280	-89.73000	0.02205	-0.03285	0.11630	-0.01972	-0.01792	-0.00629
0.00200	0.00000	-1.96465	-1.96050	-0.47320	-0.36784	-1.26280	-89.73000	0.02205	-0.03285	0.11630	-0.01972	-0.01792	-0.00629
0.00400	0.00000	-1.96465	-1.96050	-0.47320	-0.36784	-1.26280	-89.82000	0.02205	-0.03285	0.11630	-0.01972	-0.01792	-0.00629
0.00600	0.00000	-1.96465	-1.96050	-0.47320	-0.36784	-1.17260	-90.09000	0.02205	-0.03285	0.11630	-0.01972	-0.01792	-0.00629
0.00800	0.00000	-1.96465	-1.96050	-0.47320	-0.36784	-1.26280	-90.18000	0.02205	-0.03285	0.11630	-0.01972	-0.01792	-0.00629
0.01000	0.00000	0.00423	0.00507	0.00125	0.00308	0.00000	0.00000	-0.09582	0.05139	0.10920	0.02083	0.04442	-0.01111
0.01200	0.00000	0.00408	0.00471	0.00093	0.00325	0.00000	0.00000	-0.09582	0.05139	0.10920	0.02083	0.04442	-0.01111
0.01400	0.02249	0.00408	0.00471	0.00093	0.00325	-1.17260	-90.18000	-0.09582	0.05139	0.10920	0.02083	0.04442	-0.01111
0.01600	0.02249	0.00408	0.00471	0.00093	0.00325	-1.17260	-90.09000	-0.09582	0.05139	0.10920	0.02083	0.04442	-0.01111
0.01800	0.02249	0.00408	0.00471	0.00093	0.00325	-1.26280	-90.00000	-0.09582	0.05139	0.10920	0.02083	0.04442	-0.01111
0.02000	0.02249	0.00460	0.00510	0.00120	0.00373	0.00000	0.00000	-0.03981	0.09353	0.10874	-0.00139	0.08652	-0.03842
0.02200	0.02249	0.00460	0.00510	0.00120	0.00373	-1.26280	-89.82000	-0.03981	0.09353	0.10874	-0.00139	0.08652	-0.03842
0.02400	0.02318	0.00460	0.00510	0.00120	0.00373	-1.35300	-89.91000	-0.03981	0.09353	0.10874	-0.00139	0.08652	-0.03842
0.02600	0.02318	0.00460	0.00510	0.00120	0.00373	-1.35300	-89.82000	-0.03981	0.09353	0.10874	-0.00139	0.08652	-0.03842
0.02800	0.02318	0.00356	0.00368	0.00122	0.00387	0.00000	0.00000	-0.02361	0.07871	0.19434	0.00972	0.01064	-0.03657
0.03000	0.02318	0.00356	0.00368	0.00122	0.00387	-1.35300	-89.91000	-0.02361	0.07871	0.19434	0.00972	0.01064	-0.03657
0.03200	0.02318	0.00356	0.00368	0.00122	0.00387	-1.35300	-89.91000	-0.02361	0.07871	0.19434	0.00972	0.01064	-0.03657
0.03400	0.02369	0.00356	0.00368	0.00122	0.00387	-1.53340	-90.09000	-0.02361	0.07871	0.19434	0.00972	0.01064	-0.03657
0.03600	0.02369	0.00435	0.00511	0.00143	0.00389	0.00000	0.00000	0.15415	0.07454	0.10874	-0.02036	0.00278	0.02222
0.03800	0.02369	0.00302	0.00518	0.00211	0.00176	-1.44320	-90.00000	0.15415	0.07454	0.10874	-0.02036	0.00278	0.02222
0.04000	0.02369	0.00302	0.00518	0.00211	0.00176	-1.26280	-90.09000	0.15415	0.07454	0.10874	-0.02036	0.00278	0.02222
0.04200	0.02369	0.00302	0.00518	0.00211	0.00176	-1.26280	-90.00000	0.15415	0.07454	0.10874	-0.02036	0.00278	0.02222
0.04400	0.02426	0.00302	0.00518	0.00211	0.00176	0.00000	0.00000	0.15415	0.07454	0.10874	-0.02036	0.00278	0.02222
0.04600	0.02426	0.00443	0.00423	0.00125	0.00327	-1.26280	-90.09000	0.11156	-0.10371	0.10643	-0.03425	-0.04858	0.00324
0.04800	0.02426	0.00399	0.00445	-0.00010	0.00382	-1.26280	-90.00000	0.11156	-0.10371	0.10643	-0.03425	-0.04858	0.00324
0.05000	0.02426	0.00399	0.00445	-0.00010	0.00382	-1.35300	-90.00000	0.11156	-0.10371	0.10643	-0.03425	-0.04858	0.00324
0.05200	0.02426	0.00399	0.00445	-0.00010	0.00382	0.00000	0.00000	0.11156	-0.10371	0.10643	-0.03425	-0.04858	0.00324
0.05400	0.02483	0.00399	0.00445	-0.00010	0.00382	-1.26280	-89.82000	0.11156	-0.10371	0.10643	-0.03425	-0.04858	0.00324
0.05600	0.02483	0.00458	0.00603	0.00004	0.00379	-1.26280	-89.73000	-0.06157	-0.06575	0.17352	-0.01666	0.08051	0.00833
0.05800	0.02483	0.00458	0.00603	0.00004	0.00379	-1.26280	-89.73000	-0.06157	-0.06575	0.17352	-0.01666	0.08051	0.00833
0.06000	0.02483	0.00458	0.00603	0.00004	0.00379	0.00000	0.00000	-0.06157	-0.06575	0.17352	-0.01666	0.08051	0.00833
0.06200	0.02483	0.00458	0.00603	0.00004	0.00379	-1.26280	-89.73000	-0.06157	-0.06575	0.17352	-0.01666	0.08051	0.00833
0.06400	0.02536	0.00401	0.00366	0.00116	0.00427	-1.26280	-89.73000	-0.06157	-0.06575	0.17352	-0.01666	0.08051	0.00833
0.06600	0.02536	0.00401	0.00366	0.00116	0.00427	-1.35300	-89.73000	-0.10786	-0.12409	-0.02129	-0.00370	0.04627	0.00926
0.06800	0.02536	0.00393	0.00667	0.00093	0.00450	0.00000	0.00000	-0.10786	-0.12409	-0.02129	-0.00370	0.04627	0.00926
0.07000	0.02536	0.00393	0.00667	0.00093	0.00450	-1.44320	-89.91000	-0.10786	-0.12409	-0.02129	-0.00370	0.04627	0.00926
0.07200	0.02536	0.00464	0.00343	0.00170	0.00453	-1.35300	-89.91000	-0.09166	-0.12501	0.22025	-0.03887	0.05784	0.00787
0.07400	0.02595	0.00464	0.00343	0.00170	0.00453	-1.35300	-89.91000	-0.09166	-0.12501	0.22025	-0.03887	0.05784	0.00787
0.07600	0.02595	0.00464	0.00343	0.00170	0.00453	0.00000	0.00000	-0.09166	-0.12501	0.22025	-0.03887	0.05784	0.00787
0.07800	0.02595	0.00464	0.00343	0.00170	0.00453	-1.53340	-89.91000	-0.09166	-0.12501	0.22025	-0.03887	0.05784	0.00787
0.08000	0.02595	0.00707	0.00336	0.00096	0.00319	-1.35300	-89.91000	-0.01620	0.13798	0.18370	-0.00185	0.08606	-0.03194
0.08200	0.02595	0.00707	0.00336	0.00096	0.00319	-1.35300	-89.91000	-0.01620	0.13798	0.18370	-0.00185	0.08606	-0.03194
0.08400	0.02639	0.00707	0.00336	0.00096	0.00319	0.00000	0.00000	-0.01620	0.13798	0.18370	-0.00185	0.08606	-0.03194
0.08600	0.02639	0.00707	0.00336	0.00096	0.00319	-1.35300	-89.91000	-0.01620	0.13798	0.18370	-0.00185	0.08606	-0.03194
0.08800	0.02639	0.00446	0.00521	0.00033	0.00320	-1.26280	-89.91000	-0.01620	0.13798	0.18370	-0.00185	0.08606	-0.03194
0.09000	0.02639	0.00568	0.00233	0.00042	0.00432	-1.26280	-89.91000	0.10323	0.16993	0.12031	0.02314	-0.02313	-0.02870
0.09200	0.02639	0.00568	0.00233	0.00042	0.00432	0.00000	0.00000	0.10323	0.16993	0.12031	0.02314	-0.02313	-0.02870
0.09400	0.02689	0.00568	0.00233	0.00042	0.00432	-1.08240	-90.00000	0.10323	0.16993	0.12031	0.02314	-0.02313	-0.02870
0.09600	0.02689	0.00568	0.00233	0.00042	0.00432	-1.17260	-90.00000	0.10323	0.16993	0.12031	0.02314	-0.02313	-0.02870
0.09800	0.02689	0.00434	0.00425	0.00017	0.00476	-1.08240	-90.00000	0.10323	0.16993	0.12031	0.02314	-0.02313	-0.02870
0.10000	0.02689	0.00372	0.00490	0.00037	0.00645	-1.08240	-90.00000	0.12313	0.06065	0.02776	0.00231	-0.06987	0.01157
0.10200	0.02689	0.00372	0.00490	0.00037	0.00645	0.00000	0.00000	0.12313	0.06065	0.02776	0.00231	-0.06987	0.01157
0.10400	0.02734	0.00372	0.00490	0.00037	0.00645	-1.08240	-90.09000	0.12313	0.06065	0.02776	0.00231	-0.06987	0.01157
0.10600	0.02734	0.00372	0.00490	0.00037	0.00645	-0.99220	-90.09000	0.12313	0.06065	0.02776	0.00231	-0.06987	0.01157
0.10800	0.02734	0.00422	0.00363	0.00103	0.00551	-1.08240	-90.18000	0.12313	0.06065	0.02776	0.00231	-0.06987	0.01157
0.11000	0.02734	0.00628	0.00519	0.00093	0.00522	0.00000	0.00000	-0.05647	-0.11205	0.12447	-0.03332	0.00463	-0.00972
0.11200	0.02734	0.00628	0.00519	0.00093	0.00522	-1.08240	-90.00000	-0.05647	-0.11205	0.12447	-0.03332	0.00463	-0.00972
0.11400	0.02779	0.00628	0.00519	0.00093	0.00522	-1.08240	-89.82000	-0.05647	-0.11205	0.12447	-0.03332	0.00463	-0.00972
0.11600	0.02779	0.00628	0.00519	0.00093	0.00522	-1.17260	-89.64000	-0.05647	-0.11205	0.12447	-0.03332	0.00463	-0.00972
0.11800	0.02779	0.00377	0.00486	0.00058	0.00426	0.00000	0.00000	-0.19118	-0.07825	0.22719	-0.03378	0.05552	-0.00093
0.12000	0.02779	0.00471	0.00572	0.00151	0.00499	-1.26280	-89.64000	-0.19118	-0.07825	0.22719	-0.03378	0.05552	-0.00093
0.12200	0.02779	0.00471	0.00572	0.00151	0.00499	-1.35300	-89.64000	-0.19118	-0.07825	0.22719	-0.03378	0.05552	-0.00093
0.12400	0.02827	0.00471	0.00572	0.00151	0.00499	-1.35300	-89.73000	-0.19118	-0.07825	0.22719	-0.03378	0.05552	-0.00093
0.12600	0.02827	0.00471	0.00572	0.00151	0.00499	0.00000	0.00000	-0.19118	-0.07825	0.22719	-0.03378	0.05552	-0.00093
0.12800	0.02827	0.00395	0.00413	0.00194	0.00380	-1.26280	-89.91000	-0.19118	-0.07825	0.22719	-0.03378	0.05552	-0.00093
0.13000	0.02827	0.00577	0.00356	0.00132	0.00286	-1.26280	-90.00000	-0.11804	-0.04491	0.16473	-0.00417	0.08236	-0.03981
0.13200	0.02827	0.00577	0.00356	0.00132	0.00286	-1.35300	-90.00000	-0.11804	-0.04491	0.16473	-0.00417	0.08236	-0.03981
0.13400	0.02863	0.00577	0.00356	0.00132	0.00286	0.00000	0.00000	-0.11804	-0.04491	0.16473	-0.00417	0.08236	-0.03981
0.13600	0.02863	0.00577	0.00356	0.00132	0.00286	-1.26280	-89.91000	-0.11804	-0.04491	0.16473	-0.00417	0.08236	-0.03981
0.13800	0.02863	0.00374	0.00345	0.00170	0.00423	-1.35300	-90.00000	-0.11804	-0.04491	0.16473	-0.00417	0.08236	-0.03981
0.14000	0.02863	0.00908	0.00360	0.00097	0.00522	-1.26280	-89.91000	0.06157	0.00232	0.07727	-0.00370	0.01573	0.00093
0.14200	0.02863	0.00908	0.00360	0.00097	0.00522	0.00000	0.00000	0.06157	0.00232	0.07727	-0.00370	0.01573	0.00093
0.14400	0.02903	0.00908	0.00360	0.00097	0.00522	-1.17260	-89.82000	0.06157	0.00232	0.07727	-0.00370	0.01573	0.00093
0.14600	0.02903	0.00908	0.00360	0.00097	0.00522	-1.17260	-89.91000	0.06157	0.00232	0.07727	-0.00370	0.01573	0.00093
0.14800	0.02903	0.00528	0.00557	0.00023	0.00509	-1.17260	-90.00000	0.12128	0.13011	0.11429	-0.00787	-0.05367	0.00972
0.15000	0.02903	0.00528	0.00557	0.00023	0.00509	0.00000	0.00000	0.12128	0.13011	0.11429	-0.00787	-0.05367	0.00972
