/***********************************************************
* Ocean Resources and Renewable Energy Laboratory
* Version: v1.0 (Released on May 1st, 2021)
* Programmed by: Jessica Nguyen (Email: nvnguyen@umass.edu)
*----------------------------------------------------------
* Project Name:	NREL_VGOSWEC_waveenergyprize_VGM0
* Project Lead:	JD
* Labview Operator:	JD
* Comments:	VGOSWEC scale model with 5.25" diameter cylindrical foundation and three pairs of opposing torsional springs. Model centered in window 2,  193.5 in from the start of the tank; probe positions: probe 1 (staff, front) - 134 in; probe 2 (sonic, alongside) - 193.5 in; probe 3 (staff, behind) - 274.5 in ; probe 4 (sonic, behind) - 332.5 in. Data aquisition specifications: wave start time: 0 s; wave end time: 40 s; delta t: 0.05; ramp time: 3 s; end time delay: 20 s; sampling rate: 2 ms. Kistler force cal factor: 5 V/N (X), 2 V/N (Y,Z); Kistler moment cal factor: 5 V/Nm (Y), 2 V/Nm (X,Z). Naming convention: T(period)_A(actuator amp)_B(beach distance)_VGM(variable geometry module angle).
* Date and Time:	Wed 16 Jun 2021 03:03:13 PM EDT
***********************************************************/

"Time(s)"	"ActuatorPos(mm)"	"WP1(m)"	"WP2(m)"	"WP3(m)"	"WP4(m)"	"Roll(deg)"	"Pitch(deg)"	"ForceX(N)"	"ForceY(N)"	"ForceZ(N)"	"MomentX"	"MomentY"	"MomentZ"	
0.00000	-0.00001	-2.04004	-1.96297	-0.47417	-0.44938	-3.33740	-89.73000	0.01143	0.00864	-0.01397	0.00146	-0.00456	-0.00240
0.00200	0.00000	-2.04004	-1.96297	-0.47417	-0.44938	-3.33740	-89.73000	0.01143	0.00864	-0.01397	0.00146	-0.00456	-0.00240
0.00400	0.00000	-2.04004	-1.96297	-0.47417	-0.44938	-3.33740	-89.82000	0.01143	0.00864	-0.01397	0.00146	-0.00456	-0.00240
0.00600	0.00000	-2.04004	-1.96297	-0.47417	-0.44938	-3.24720	-89.82000	0.01143	0.00864	-0.01397	0.00146	-0.00456	-0.00240
0.00800	0.00359	-2.04004	-1.96297	-0.47417	-0.44938	-3.15700	-89.82000	0.01143	0.00864	-0.01397	0.00146	-0.00456	-0.00240
0.01000	0.00359	0.00110	0.00360	0.00038	0.00221	-3.15700	-89.73000	0.08710	-0.04234	-0.18995	0.00437	0.01219	-0.00777
0.01200	0.00359	0.00110	0.00360	0.00038	0.00221	-3.15700	-89.73000	0.08710	-0.04234	-0.18995	0.00437	0.01219	-0.00777
0.01400	0.00359	0.00110	0.00360	0.00038	0.00221	-3.15700	-89.73000	0.08710	-0.04234	-0.18995	0.00437	0.01219	-0.00777
0.01600	0.00359	0.00110	0.00360	0.00038	0.00221	-3.33740	-89.73000	0.08710	-0.04234	-0.18995	0.00437	0.01219	-0.00777
0.01800	0.00358	0.00082	0.00187	0.00016	0.00206	-3.33740	-89.64000	0.08710	-0.04234	-0.18995	0.00437	0.01219	-0.00777
0.02000	0.00358	0.00137	0.00438	0.00071	0.00239	-3.33740	-89.55000	0.04088	-0.12238	0.09264	-0.01177	0.00594	-0.00252
0.02200	0.00358	0.00137	0.00438	0.00071	0.00239	-3.42760	-89.55000	0.04088	-0.12238	0.09264	-0.01177	0.00594	-0.00252
0.02400	0.00358	0.00137	0.00438	0.00071	0.00239	-3.51780	-89.64000	0.04088	-0.12238	0.09264	-0.01177	0.00594	-0.00252
0.02600	0.00358	0.00137	0.00438	0.00071	0.00239	-3.42760	-89.73000	0.04088	-0.12238	0.09264	-0.01177	0.00594	-0.00252
0.02800	0.00357	0.00205	0.00249	0.00192	0.00024	-3.33740	-89.73000	-0.02952	0.03354	0.11058	-0.00473	0.01554	-0.00494
0.03000	0.00357	0.00205	0.00249	0.00192	0.00024	-3.33740	-89.82000	-0.02952	0.03354	0.11058	-0.00473	0.01554	-0.00494
0.03200	0.00357	0.00205	0.00249	0.00192	0.00024	-3.24720	-89.91000	-0.02952	0.03354	0.11058	-0.00473	0.01554	-0.00494
0.03400	0.00357	0.00205	0.00249	0.00192	0.00024	-3.24720	-89.91000	-0.02952	0.03354	0.11058	-0.00473	0.01554	-0.00494
0.03600	0.00357	0.00138	0.00150	0.00180	0.00095	-3.24720	-89.82000	0.04184	0.12027	-0.08863	0.02689	0.02143	-0.00417
0.03800	0.00353	0.00138	0.00150	0.00180	0.00095	-3.24720	-89.73000	0.04184	0.12027	-0.08863	0.02689	0.02143	-0.00417
0.04000	0.00353	0.00138	0.00150	0.00180	0.00095	-3.24720	-89.73000	0.04184	0.12027	-0.08863	0.02689	0.02143	-0.00417
0.04200	0.00353	0.00138	0.00150	0.00180	0.00095	-3.42760	-89.64000	0.04184	0.12027	-0.08863	0.02689	0.02143	-0.00417
0.04400	0.00353	0.00112	0.00238	0.00023	0.00216	-3.42760	-89.73000	0.05328	0.07711	-0.00648	0.01820	0.02638	0.00041
0.04600	0.00353	0.00112	0.00238	0.00023	0.00216	-3.60800	-89.73000	0.05328	0.07711	-0.00648	0.01820	0.02638	0.00041
0.04800	0.00344	0.00112	0.00238	0.00023	0.00216	-3.51780	-89.82000	0.05328	0.07711	-0.00648	0.01820	0.02638	0.00041
0.05000	0.00344	0.00112	0.00238	0.00023	0.00216	-3.51780	-89.82000	0.05328	0.07711	-0.00648	0.01820	0.02638	0.00041
0.05200	0.00344	0.00098	0.00168	0.00007	0.00210	-3.60800	-89.91000	0.09730	-0.05509	-0.04483	-0.01275	-0.02759	0.00103
0.05400	0.00344	0.00098	0.00168	0.00007	0.00210	-3.60800	-90.00000	0.09730	-0.05509	-0.04483	-0.01275	-0.02759	0.00103
0.05600	0.00344	0.00098	0.00168	0.00007	0.00210	-3.51780	-89.91000	0.09730	-0.05509	-0.04483	-0.01275	-0.02759	0.00103
0.05800	0.00332	0.00098	0.00168	0.00007	0.00210	-3.42760	-89.82000	0.09730	-0.05509	-0.04483	-0.01275	-0.02759	0.00103
0.06000	0.00332	0.00297	0.00196	-0.00043	0.00183	-3.33740	-89.73000	0.04645	-0.10787	-0.03439	-0.02134	-0.05389	-0.00087
0.06200	0.00332	0.00297	0.00196	-0.00043	0.00183	-3.15700	-89.64000	0.04645	-0.10787	-0.03439	-0.02134	-0.05389	-0.00087
