/***********************************************************
* Ocean Resources and Renewable Energy Laboratory
* Version: v1.0 (Released on May 1st, 2021)
* Programmed by: Jessica Nguyen (Email: nvnguyen@umass.edu)
*----------------------------------------------------------
* Project Name:	NREL_VGOSWEC_waveenergyprize_VGM10
* Project Lead:	JD
* Labview Operator:	JD
* Comments:	VGOSWEC scale model with 5.25" diameter cylindrical foundation and three pairs of opposing torsional springs. Model centered in window 2,  193.5 in from the start of the tank; probe positions: probe 1 (staff, front) - 134 in; probe 2 (sonic, alongside) - 193.5 in; probe 3 (staff, behind) - 274.5 in ; probe 4 (sonic, behind) - 332.5 in. Data aquisition specifications: wave start time: 0 s; wave end time: 40 s; delta t: 0.05; ramp time: 3 s; end time delay: 20 s; sampling rate: 2 ms. Kistler force cal factor: 1 V/N (X), 1 V/N (Y), 0.6667 V/N (Z); Kistler moment cal factor: 3.33 V/Nm (Y), 3.33  V Nm (X,Z). Naming convention: T(period)_A(actuator amp)_B(beach distance)_VGM(variable geometry module angle).
* Date and Time:	Thu 17 Jun 2021 04:01:24 PM EDT
***********************************************************/

"Time(s)"	"ActuatorPos(mm)"	"WP1(m)"	"WP2(m)"	"WP3(m)"	"WP4(m)"	"Roll(deg)"	"Pitch(deg)"	"ForceX(N)"	"ForceY(N)"	"ForceZ(N)"	"MomentX"	"MomentY"	"MomentZ"	
0.00000	-0.00002	-2.04004	-1.96297	-0.47417	-0.44938	-3.87860	-89.73000	0.01549	-0.02860	-0.04961	-0.00150	-0.00363	-0.00107
0.00200	0.00000	-2.04004	-1.96297	-0.47417	-0.44938	-3.87860	-89.73000	0.01549	-0.02860	-0.04961	-0.00150	-0.00363	-0.00107
0.00400	0.00000	-2.04004	-1.96297	-0.47417	-0.44938	-4.05900	-89.73000	0.01549	-0.02860	-0.04961	-0.00150	-0.00363	-0.00107
0.00600	0.00000	-2.04004	-1.96297	-0.47417	-0.44938	-3.96880	-89.82000	0.01549	-0.02860	-0.04961	-0.00150	-0.00363	-0.00107
0.00800	0.00000	-2.04004	-1.96297	-0.47417	-0.44938	-4.05900	-89.82000	0.01549	-0.02860	-0.04961	-0.00150	-0.00363	-0.00107
0.01000	0.00294	0.00118	0.00110	-0.00048	-0.00545	-3.96880	-89.82000	-0.07663	0.05792	-0.16625	0.01977	-0.00432	-0.00262
0.01200	0.00294	0.00118	0.00110	-0.00048	-0.00545	-3.96880	-89.64000	-0.07663	0.05792	-0.16625	0.01977	-0.00432	-0.00262
0.01400	0.00294	0.00118	0.00110	-0.00048	-0.00545	-3.96880	-89.73000	-0.07663	0.05792	-0.16625	0.01977	-0.00432	-0.00262
0.01600	0.00294	0.00118	0.00110	-0.00048	-0.00545	-3.87860	-89.73000	-0.07663	0.05792	-0.16625	0.01977	-0.00432	-0.00262
0.01800	0.00294	-0.00017	0.00201	-0.00130	-0.00139	-3.87860	-89.64000	-0.07663	0.05792	-0.16625	0.01977	-0.00432	-0.00262
0.02000	0.00304	-0.00032	0.00104	-0.00057	-0.00079	-3.78840	-89.64000	0.07468	0.02047	-0.08251	0.01749	-0.02995	-0.00756
0.02200	0.00304	-0.00032	0.00104	-0.00057	-0.00079	-3.78840	-89.64000	0.07468	0.02047	-0.08251	0.01749	-0.02995	-0.00756
0.02400	0.00304	-0.00032	0.00104	-0.00057	-0.00079	-3.69820	-89.73000	0.07468	0.02047	-0.08251	0.01749	-0.02995	-0.00756
0.02600	0.00304	-0.00032	0.00104	-0.00057	-0.00079	-3.78840	-89.73000	0.07468	0.02047	-0.08251	0.01749	-0.02995	-0.00756
0.02800	0.00304	0.00093	0.00098	0.00147	0.00223	-3.78840	-89.64000	0.08753	-0.02222	-0.11535	0.01209	-0.03411	-0.00278
0.03000	0.00315	0.00093	0.00098	0.00147	0.00223	-3.78840	-89.64000	0.08753	-0.02222	-0.11535	0.01209	-0.03411	-0.00278
0.03200	0.00315	0.00093	0.00098	0.00147	0.00223	-3.78840	-89.64000	0.08753	-0.02222	-0.11535	0.01209	-0.03411	-0.00278
0.03400	0.00315	0.00093	0.00098	0.00147	0.00223	-3.78840	-89.73000	0.08753	-0.02222	-0.11535	0.01209	-0.03411	-0.00278
0.03600	0.00315	0.00174	0.00083	-0.00050	0.00260	-3.69820	-89.82000	0.05647	-0.01008	-0.10502	0.00666	-0.02338	0.00580
0.03800	0.00315	0.00174	0.00083	-0.00050	0.00260	-3.78840	-89.73000	0.05647	-0.01008	-0.10502	0.00666	-0.02338	0.00580
0.04000	0.00326	0.00174	0.00083	-0.00050	0.00260	-3.78840	-89.64000	0.05647	-0.01008	-0.10502	0.00666	-0.02338	0.00580
0.04200	0.00326	0.00174	0.00083	-0.00050	0.00260	-3.69820	-89.64000	0.05647	-0.01008	-0.10502	0.00666	-0.02338	0.00580
0.04400	0.00326	0.00050	0.00165	-0.00022	0.00109	-3.78840	-89.64000	-0.00761	-0.06255	-0.00216	0.00583	-0.00460	-0.00204
0.04600	0.00326	0.00050	0.00165	-0.00022	0.00109	-3.69820	-89.73000	-0.00761	-0.06255	-0.00216	0.00583	-0.00460	-0.00204
0.04800	0.00326	0.00050	0.00165	-0.00022	0.00109	-3.78840	-89.73000	-0.00761	-0.06255	-0.00216	0.00583	-0.00460	-0.00204
0.05000	0.00335	0.00050	0.00165	-0.00022	0.00109	-3.69820	-89.73000	-0.00761	-0.06255	-0.00216	0.00583	-0.00460	-0.00204
0.05200	0.00335	0.00033	0.00205	0.00020	-0.00183	-3.60800	-89.82000	-0.01234	-0.09733	0.00339	0.00478	0.01286	-0.00265
0.05400	0.00335	0.00033	0.00205	0.00020	-0.00183	-3.69820	-89.82000	-0.01234	-0.09733	0.00339	0.00478	0.01286	-0.00265
0.05600	0.00335	0.00033	0.00205	0.00020	-0.00183	-3.69820	-89.82000	-0.01234	-0.09733	0.00339	0.00478	0.01286	-0.00265
0.05800	0.00335	0.00033	0.00205	0.00020	-0.00183	-3.69820	-89.73000	-0.01234	-0.09733	0.00339	0.00478	0.01286	-0.00265
0.06000	0.00343	0.00065	0.00169	-0.00032	-0.00496	-3.78840	-89.55000	-0.06501	-0.07418	-0.04287	0.00259	0.01542	-0.00333
0.06200	0.00343	0.00060	0.00172	0.00042	-0.00310	-3.96880	-89.64000	-0.06501	-0.07418	-0.04287	0.00259	0.01542	-0.00333
0.06400	0.00343	0.00060	0.00172	0.00042	-0.00310	-3.96880	-89.73000	-0.06501	-0.07418	-0.04287	0.00259	0.01542	-0.00333
0.06600	0.00343	0.00060	0.00172	0.00042	-0.00310	-3.87860	-89.64000	-0.06501	-0.07418	-0.04287	0.00259	0.01542	-0.00333
0.06800	0.00343	0.00060	0.00172	0.00042	-0.00310	-3.78840	-89.55000	-0.06501	-0.07418	-0.04287	0.00259	0.01542	-0.00333
0.07000	0.00350	0.00200	0.00023	0.00037	0.00223	-3.69820	-89.64000	-0.07972	0.05154	0.02406	0.01848	0.01447	0.00185
0.07200	0.00350	0.00200	0.00023	0.00037	0.00223	-3.69820	-89.73000	-0.07972	0.05154	0.02406	0.01848	0.01447	0.00185
0.07400	0.00350	0.00200	0.00023	0.00037	0.00223	-3.78840	-89.82000	-0.07972	0.05154	0.02406	0.01848	0.01447	0.00185
0.07600	0.00350	0.00200	0.00023	0.00037	0.00223	-3.87860	-89.82000	-0.07972	0.05154	0.02406	0.01848	0.01447	0.00185
0.07800	0.00350	0.00069	0.00178	0.00000	0.00227	-3.78840	-89.82000	-0.03579	0.06543	-0.02529	0.02887	0.00299	-0.00475
0.08000	0.00353	0.00069	0.00178	0.00000	0.00227	-3.87860	-89.82000	-0.03579	0.06543	-0.02529	0.02887	0.00299	-0.00475
0.08200	0.00353	0.00069	0.00178	0.00000	0.00227	-3.96880	-89.91000	-0.03579	0.06543	-0.02529	0.02887	0.00299	-0.00475
0.08400	0.00353	0.00069	0.00178	0.00000	0.00227	-3.87860	-89.91000	-0.03579	0.06543	-0.02529	0.02887	0.00299	-0.00475
0.08600	0.00353	0.00028	0.00069	-0.00006	0.00247	-3.78840	-89.82000	0.00309	0.03982	-0.12831	0.01323	-0.01527	0.00673
0.08800	0.00353	0.00028	0.00069	-0.00006	0.00247	-3.60800	-89.73000	0.00309	0.03982	-0.12831	0.01323	-0.01527	0.00673
0.09000	0.00356	0.00028	0.00069	-0.00006	0.00247	-3.60800	-89.64000	0.00309	0.03982	-0.12831	0.01323	-0.01527	0.00673
0.09200	0.00356	0.00028	0.00069	-0.00006	0.00247	-3.69820	-89.64000	0.00309	0.03982	-0.12831	0.01323	-0.01527	0.00673
0.09400	0.00356	0.00023	0.00212	0.00023	0.00116	-3.69820	-89.82000	0.04680	-0.03724	-0.08759	0.00126	-0.01746	0.00019
0.09600	0.00356	0.00023	0.00212	0.00023	0.00116	-3.69820	-89.82000	0.04680	-0.03724	-0.08759	0.00126	-0.01746	0.00019
0.09800	0.00356	0.00023	0.00212	0.00023	0.00116	-3.78840	-89.82000	0.04680	-0.03724	-0.08759	0.00126	-0.01746	0.00019
0.10000	0.00358	0.00023	0.00212	0.00023	0.00116	-3.78840	-89.82000	0.04680	-0.03724	-0.08759	0.00126	-0.01746	0.00019
0.10200	0.00358	0.00172	0.00119	0.00044	-0.00373	-3.69820	-89.91000	0.00134	-0.02531	-0.05320	0.01533	-0.01474	0.00250
0.10400	0.00358	0.00172	0.00119	0.00044	-0.00373	-3.69820	-89.82000	0.00134	-0.02531	-0.05320	0.01533	-0.01474	0.00250
0.10600	0.00358	0.00172	0.00119	0.00044	-0.00373	-3.69820	-89.82000	0.00134	-0.02531	-0.05320	0.01533	-0.01474	0.00250
0.10800	0.00358	0.00172	0.00119	0.00044	-0.00373	-3.78840	-89.82000	0.00134	-0.02531	-0.05320	0.01533	-0.01474	0.00250
0.11000	0.00358	0.00027	0.00173	-0.00061	-0.00296	-3.78840	-89.73000	0.00473	-0.05854	-0.06261	0.01209	-0.00389	0.00049
0.11200	0.00358	0.00027	0.00173	-0.00061	-0.00296	-3.78840	-89.73000	0.00473	-0.05854	-0.06261	0.01209	-0.00389	0.00049
0.11400	0.00358	0.00027	0.00173	-0.00061	-0.00296	-3.69820	-89.73000	0.00473	-0.05854	-0.06261	0.01209	-0.00389	0.00049
0.11600	0.00358	0.00027	0.00173	-0.00061	-0.00296	-3.87860	-89.73000	0.00473	-0.05854	-0.06261	0.01209	-0.00389	0.00049
0.11800	0.00358	0.00051	0.00054	0.00042	0.00009	-3.87860	-89.73000	-0.00082	-0.07696	-0.00231	0.00268	0.00703	-0.00207
0.12000	0.00358	0.00051	0.00054	0.00042	0.00009	-3.87860	-89.82000	-0.00082	-0.07696	-0.00231	0.00268	0.00703	-0.00207
0.12200	0.00358	0.00051	0.00054	0.00042	0.00009	-3.78840	-89.82000	-0.00082	-0.07696	-0.00231	0.00268	0.00703	-0.00207
0.12400	0.00358	0.00051	0.00054	0.00042	0.00009	-3.78840	-89.91000	-0.00082	-0.07696	-0.00231	0.00268	0.00703	-0.00207
0.12600	0.00358	0.00005	0.00235	0.00056	0.00115	-3.69820	-89.91000	-0.06686	-0.02942	0.00663	0.00950	0.01113	-0.00235
0.12800	0.00358	0.00005	0.00235	0.00056	0.00115	-3.78840	-89.82000	-0.06686	-0.02942	0.00663	0.00950	0.01113	-0.00235
0.13000	0.00357	0.00005	0.00235	0.00056	0.00115	-3.78840	-89.91000	-0.06686	-0.02942	0.00663	0.00950	0.01113	-0.00235
0.13200	0.00357	0.00005	0.00235	0.00056	0.00115	-3.69820	-89.73000	-0.06686	-0.02942	0.00663	0.00950	0.01113	-0.00235
0.13400	0.00357	0.00190	0.00117	0.00054	0.00129	-3.78840	-89.73000	-0.01481	0.03529	-0.02899	0.02104	0.01823	-0.00744
0.13600	0.00357	-0.00026	0.00340	0.00069	0.00316	-3.78840	-89.73000	-0.01481	0.03529	-0.02899	0.02104	0.01823	-0.00744
0.13800	0.00357	-0.00026	0.00340	0.00069	0.00316	-3.87860	-89.82000	-0.01481	0.03529	-0.02899	0.02104	0.01823	-0.00744
0.14000	0.00350	-0.00026	0.00340	0.00069	0.00316	-3.87860	-89.82000	-0.01481	0.03529	-0.02899	0.02104	0.01823	-0.00744
0.14200	0.00350	-0.00026	0.00340	0.00069	0.00316	-3.87860	-89.82000	-0.01481	0.03529	-0.02899	0.02104	0.01823	-0.00744
0.14400	0.00350	0.00041	0.00180	0.00037	0.00221	-3.87860	-89.91000	-0.01481	0.03529	-0.02899	0.02104	0.01823	-0.00744
0.14600	0.00350	0.00041	0.00180	0.00037	0.00221	-3.87860	-89.91000	0.02520	-0.01142	-0.04549	0.01527	-0.00219	-0.00259
0.14800	0.00350	0.00041	0.00180	0.00037	0.00221	-3.87860	-89.91000	0.02520	-0.01142	-0.04549	0.01527	-0.00219	-0.00259
0.15000	0.00341	0.00106	-0.00128	0.00004	0.00138	-3.78840	-89.73000	0.02520	-0.01142	-0.04549	0.01527	-0.00219	-0.00259
0.15200	0.00341	0.00106	-0.00128	0.00004	0.00138	-3.87860	-89.73000	0.02520	-0.01142	-0.04549	0.01527	-0.00219	-0.00259
0.15400	0.00341	0.00106	-0.00128	0.00004	0.00138	-3.69820	-89.73000	0.08681	-0.03765	-0.06446	0.00632	-0.03846	-0.00201
0.15600	0.00341	0.00055	0.00297	-0.00124	0.00205	-3.69820	-89.73000	0.08681	-0.03765	-0.06446	0.00632	-0.03846	-0.00201
0.15800	0.00341	0.00055	0.00297	-0.00124	0.00205	-3.69820	-89.64000	0.08681	-0.03765	-0.06446	0.00632	-0.03846	-0.00201
0.16000	0.00327	0.00285	0.00137	-0.00132	0.00208	-3.69820	-89.64000	0.05040	-0.05905	-0.10502	0.00864	-0.05752	0.00114
0.16200	0.00327	0.00285	0.00137	-0.00132	0.00208	-3.78840	-89.55000	0.05040	-0.05905	-0.10502	0.00864	-0.05752	0.00114
0.16400	0.00327	0.00285	0.00137	-0.00132	0.00208	-3.69820	-89.46000	0.05040	-0.05905	-0.10502	0.00864	-0.05752	0.00114
0.16600	0.00327	0.00285	0.00137	-0.00132	0.00208	-3.69820	-89.55000	0.05040	-0.05905	-0.10502	0.00864	-0.05752	0.00114
0.16800	0.00327	0.00160	0.00157	-0.00003	0.00184	-3.69820	-89.64000	0.05040	-0.05905	-0.10502	0.00864	-0.05752	0.00114
