/***********************************************************
* Ocean Resources and Renewable Energy Laboratory
* Version: v1.0 (Released on May 1st, 2021)
* Programmed by: Jessica Nguyen (Email: nvnguyen@umass.edu)
*----------------------------------------------------------
* Project Name:	NREL_VGOSWEC_waveenergyprize_VGM10
* Project Lead:	JD
* Labview Operator:	JD
* Comments:	VGOSWEC scale model with 5.25" diameter cylindrical foundation and three pairs of opposing torsional springs. Model centered in window 2,  193.5 in from the start of the tank; probe positions: probe 1 (staff, front) - 134 in; probe 2 (sonic, alongside) - 193.5 in; probe 3 (staff, behind) - 274.5 in ; probe 4 (sonic, behind) - 332.5 in. Data aquisition specifications: wave start time: 0 s; wave end time: 40 s; delta t: 0.05; ramp time: 3 s; end time delay: 20 s; sampling rate: 2 ms. Kistler force cal factor: 1 V/N (X), 1 V/N (Y), 1 V/N (Z); Kistler moment cal factor: 3.33 V/Nm (Y), 3.33  V Nm (X,Z). Naming convention: T(period)_A(actuator amp)_B(beach distance)_VGM(variable geometry module angle).
* Date and Time:	Thu 17 Jun 2021 03:05:25 PM EDT
***********************************************************/

"Time(s)"	"ActuatorPos(mm)"	"WP1(m)"	"WP2(m)"	"WP3(m)"	"WP4(m)"	"Roll(deg)"	"Pitch(deg)"	"ForceX(N)"	"ForceY(N)"	"ForceZ(N)"	"MomentX"	"MomentY"	"MomentZ"	
0.00000	0.00001	-2.04004	-1.96297	-0.47417	-0.44938	0.00000	0.00000	0.01549	-0.02860	-0.03307	-0.00150	-0.00363	-0.00107
0.00200	0.00000	-2.04004	-1.96297	-0.47417	-0.44938	-3.69820	-89.64000	0.01549	-0.02860	-0.03307	-0.00150	-0.00363	-0.00107
0.00400	0.00000	-2.04004	-1.96297	-0.47417	-0.44938	-3.69820	-89.91000	0.01549	-0.02860	-0.03307	-0.00150	-0.00363	-0.00107
0.00600	0.00000	-2.04004	-1.96297	-0.47417	-0.44938	-3.87860	-89.91000	0.01549	-0.02860	-0.03307	-0.00150	-0.00363	-0.00107
0.00800	0.00000	-0.00151	0.00163	0.00097	0.00023	-3.87860	-89.82000	0.01549	-0.02860	-0.03307	-0.00150	-0.00363	-0.00107
0.01000	0.00000	-0.00151	0.00163	0.00097	0.00023	-3.87860	-89.73000	0.01549	-0.02860	-0.03307	-0.00150	-0.00363	-0.00107
0.01200	0.00000	-0.00151	0.00163	0.00097	0.00023	-3.78840	-89.64000	0.04135	0.00391	-0.23319	0.00565	-0.00534	-0.00006
0.01400	0.00561	-0.00323	-0.00178	-0.00055	-0.00018	-3.78840	-89.64000	0.04135	0.00391	-0.23319	0.00565	-0.00534	-0.00006
0.01600	0.00561	-0.00323	-0.00178	-0.00055	-0.00018	-3.78840	-89.73000	0.04135	0.00391	-0.23319	0.00565	-0.00534	-0.00006
0.01800	0.00561	-0.00323	-0.00178	-0.00055	-0.00018	-3.69820	-89.55000	0.04135	0.00391	-0.23319	0.00565	-0.00534	-0.00006
0.02000	0.00561	-0.00323	-0.00178	-0.00055	-0.00018	-3.69820	-89.55000	0.04135	0.00391	-0.23319	0.00565	-0.00534	-0.00006
0.02200	0.00561	-0.00183	-0.00094	-0.00107	-0.00262	-3.69820	-89.64000	0.17321	-0.20175	0.03640	-0.01789	-0.00404	-0.00068
0.02400	0.00586	-0.00183	-0.00094	-0.00107	-0.00262	-3.78840	-89.82000	0.17321	-0.20175	0.03640	-0.01789	-0.00404	-0.00068
0.02600	0.00586	-0.00183	-0.00094	-0.00107	-0.00262	-3.87860	-89.82000	0.17321	-0.20175	0.03640	-0.01789	-0.00404	-0.00068
0.02800	0.00586	-0.00183	-0.00094	-0.00107	-0.00262	-3.96880	-89.82000	0.17321	-0.20175	0.03640	-0.01789	-0.00404	-0.00068
0.03000	0.00586	-0.00137	-0.00199	0.00031	-0.00450	-3.87860	-89.91000	0.17321	-0.20175	0.03640	-0.01789	-0.00404	-0.00068
0.03200	0.00586	-0.00240	-0.00227	0.00001	-0.00129	-3.78840	-89.91000	-0.07858	-0.06420	0.10837	-0.02079	-0.00367	-0.00642
0.03400	0.00607	-0.00240	-0.00227	0.00001	-0.00129	-3.51780	-89.82000	-0.07858	-0.06420	0.10837	-0.02079	-0.00367	-0.00642
0.03600	0.00607	-0.00240	-0.00227	0.00001	-0.00129	-3.51780	-89.91000	-0.07858	-0.06420	0.10837	-0.02079	-0.00367	-0.00642
0.03800	0.00607	-0.00240	-0.00227	0.00001	-0.00129	-3.42760	-89.73000	-0.07858	-0.06420	0.10837	-0.02079	-0.00367	-0.00642
0.04000	0.00607	-0.00245	-0.00069	0.00020	-0.00132	-3.42760	-89.64000	0.07581	0.08107	-0.12975	0.02014	0.01194	-0.00346
0.04200	0.00607	-0.00245	-0.00069	0.00020	-0.00132	-3.60800	-89.64000	0.07581	0.08107	-0.12975	0.02014	0.01194	-0.00346
0.04400	0.00629	-0.00245	-0.00069	0.00020	-0.00132	-3.60800	-89.64000	0.07581	0.08107	-0.12975	0.02014	0.01194	-0.00346
0.04600	0.00629	-0.00245	-0.00069	0.00020	-0.00132	-3.78840	-89.55000	0.07581	0.08107	-0.12975	0.02014	0.01194	-0.00346
0.04800	0.00629	-0.00152	-0.00245	0.00050	0.00041	-3.96880	-89.55000	0.07581	0.08107	-0.12975	0.02014	0.01194	-0.00346
0.05000	0.00629	-0.00152	-0.00245	0.00050	0.00041	-3.96880	-89.73000	-0.06274	-0.00412	0.05202	0.00799	0.02838	-0.00352
0.05200	0.00629	-0.00199	0.00054	0.00020	-0.00068	-3.87860	-89.82000	-0.06274	-0.00412	0.05202	0.00799	0.02838	-0.00352
0.05400	0.00652	-0.00199	0.00054	0.00020	-0.00068	-3.87860	-90.00000	-0.06274	-0.00412	0.05202	0.00799	0.02838	-0.00352
0.05600	0.00652	0.00015	-0.00216	0.00064	-0.00045	-3.87860	-90.00000	0.05986	-0.07305	-0.09397	-0.03073	0.00099	-0.00136
0.05800	0.00652	0.00015	-0.00216	0.00064	-0.00045	-3.78840	-90.00000	0.05986	-0.07305	-0.09397	-0.03073	0.00099	-0.00136
0.06000	0.00652	0.00015	-0.00216	0.00064	-0.00045	-3.78840	-89.82000	0.05986	-0.07305	-0.09397	-0.03073	0.00099	-0.00136
0.06200	0.00652	0.00015	-0.00216	0.00064	-0.00045	-3.78840	-89.73000	0.05986	-0.07305	-0.09397	-0.03073	0.00099	-0.00136
0.06400	0.00674	-0.00228	-0.00171	0.00051	-0.00099	-3.69820	-89.64000	0.05050	-0.17912	-0.11855	-0.03622	-0.02193	0.00235
0.06600	0.00674	-0.00228	-0.00171	0.00051	-0.00099	-3.69820	-89.64000	0.05050	-0.17912	-0.11855	-0.03622	-0.02193	0.00235
0.06800	0.00674	-0.00228	-0.00171	0.00051	-0.00099	-3.87860	-89.55000	0.05050	-0.17912	-0.11855	-0.03622	-0.02193	0.00235
0.07000	0.00674	-0.00228	-0.00171	0.00051	-0.00099	-3.87860	-89.55000	0.05050	-0.17912	-0.11855	-0.03622	-0.02193	0.00235
0.07200	0.00674	-0.00173	-0.00051	0.00004	-0.00304	-3.78840	-89.64000	0.07570	0.03179	0.04359	0.01009	-0.00478	0.00272
0.07400	0.00698	-0.00173	-0.00051	0.00004	-0.00304	-3.78840	-89.82000	0.07570	0.03179	0.04359	0.01009	-0.00478	0.00272
0.07600	0.00698	-0.00173	-0.00051	0.00004	-0.00304	-3.78840	-89.91000	0.07570	0.03179	0.04359	0.01009	-0.00478	0.00272
0.07800	0.00698	-0.00173	-0.00051	0.00004	-0.00304	-3.69820	-90.00000	0.07570	0.03179	0.04359	0.01009	-0.00478	0.00272
0.08000	0.00698	-0.00251	-0.00161	0.00045	-0.00357	-3.69820	-90.00000	0.07756	0.06060	-0.31431	0.00737	-0.01511	0.00380
0.08200	0.00698	-0.00251	-0.00161	0.00045	-0.00357	-3.69820	-89.82000	0.07756	0.06060	-0.31431	0.00737	-0.01511	0.00380
0.08400	0.00716	-0.00251	-0.00161	0.00045	-0.00357	-3.69820	-89.73000	0.07756	0.06060	-0.31431	0.00737	-0.01511	0.00380
0.08600	0.00716	-0.00251	-0.00161	0.00045	-0.00357	-3.69820	-89.55000	0.07756	0.06060	-0.31431	0.00737	-0.01511	0.00380
0.08800	0.00716	-0.00111	-0.00020	0.00043	-0.00031	-3.69820	-89.37000	0.06758	-0.17366	-0.11700	-0.03116	-0.00339	0.00130
0.09000	0.00716	-0.00111	-0.00020	0.00043	-0.00031	-3.69820	-89.37000	0.06758	-0.17366	-0.11700	-0.03116	-0.00339	0.00130
0.09200	0.00716	-0.00111	-0.00020	0.00043	-0.00031	-3.69820	-89.37000	0.06758	-0.17366	-0.11700	-0.03116	-0.00339	0.00130
0.09400	0.00736	-0.00111	-0.00020	0.00043	-0.00031	-3.87860	-89.46000	0.06758	-0.17366	-0.11700	-0.03116	-0.00339	0.00130
0.09600	0.00736	-0.00243	-0.00166	0.00020	0.00136	-3.87860	-89.64000	0.06758	-0.17366	-0.11700	-0.03116	-0.00339	0.00130
0.09800	0.00736	-0.00243	-0.00166	0.00020	0.00136	-3.69820	-89.82000	-0.05554	-0.13766	0.28490	-0.02705	0.00935	-0.00580
0.10000	0.00736	-0.00246	0.00023	-0.00017	0.00101	-3.69820	-89.91000	-0.05554	-0.13766	0.28490	-0.02705	0.00935	-0.00580
0.10200	0.00736	-0.00246	0.00023	-0.00017	0.00101	-3.69820	-90.09000	-0.14914	-0.01955	0.10755	-0.01296	0.02816	-0.00555
0.10400	0.00756	-0.00246	0.00023	-0.00017	0.00101	-3.60800	-90.09000	-0.14914	-0.01955	0.10755	-0.01296	0.02816	-0.00555
0.10600	0.00756	-0.00246	0.00023	-0.00017	0.00101	-3.60800	-90.00000	-0.14914	-0.01955	0.10755	-0.01296	0.02816	-0.00555
0.10800	0.00756	-0.00296	-0.00082	-0.00050	0.00119	-3.69820	-89.91000	0.13732	-0.04054	-0.18240	-0.01077	0.02211	-0.00577
0.11000	0.00756	-0.00296	-0.00082	-0.00050	0.00119	-3.69820	-89.73000	0.13732	-0.04054	-0.18240	-0.01077	0.02211	-0.00577
0.11200	0.00756	-0.00296	-0.00082	-0.00050	0.00119	-3.69820	-89.55000	0.13732	-0.04054	-0.18240	-0.01077	0.02211	-0.00577
0.11400	0.00773	-0.00296	-0.00082	-0.00050	0.00119	-3.69820	-89.64000	0.13732	-0.04054	-0.18240	-0.01077	0.02211	-0.00577
0.11600	0.00773	-0.00243	-0.00046	-0.00113	-0.00263	-3.78840	-89.64000	0.13732	-0.04054	-0.18240	-0.01077	0.02211	-0.00577
0.11800	0.00773	-0.00243	-0.00046	-0.00113	-0.00263	-3.69820	-89.64000	0.13732	-0.04054	-0.18240	-0.01077	0.02211	-0.00577
0.12000	0.00773	-0.00080	-0.00166	-0.00017	-0.00384	-3.78840	-89.82000	0.06233	-0.09979	0.04802	-0.01721	-0.01200	-0.00123
0.12200	0.00773	-0.00080	-0.00166	-0.00017	-0.00384	-3.78840	-89.82000	0.06233	-0.09979	0.04802	-0.01721	-0.01200	-0.00123
0.12400	0.00792	-0.00080	-0.00166	-0.00017	-0.00384	-3.69820	-89.91000	0.06233	-0.09979	0.04802	-0.01721	-0.01200	-0.00123
0.12600	0.00792	-0.00080	-0.00166	-0.00017	-0.00384	-3.78840	-89.91000	0.06233	-0.09979	0.04802	-0.01721	-0.01200	-0.00123
0.12800	0.00792	-0.00195	-0.00206	0.00050	-0.00418	-3.60800	-89.91000	0.08167	0.10566	-0.24912	0.00629	-0.04281	0.00395
0.13000	0.00792	-0.00195	-0.00206	0.00050	-0.00418	-3.60800	-89.91000	0.08167	0.10566	-0.24912	0.00629	-0.04281	0.00395
0.13200	0.00792	-0.00195	-0.00206	0.00050	-0.00418	-3.60800	-89.73000	0.08167	0.10566	-0.24912	0.00629	-0.04281	0.00395
0.13400	0.00806	-0.00195	-0.00206	0.00050	-0.00418	-3.51780	-89.73000	0.08167	0.10566	-0.24912	0.00629	-0.04281	0.00395
0.13600	0.00806	-0.00307	-0.00065	0.00005	0.00086	-3.60800	-89.55000	0.12343	-0.07901	-0.25437	0.00771	-0.02187	0.00244
0.13800	0.00806	-0.00307	-0.00065	0.00005	0.00086	-3.69820	-89.64000	0.12343	-0.07901	-0.25437	0.00771	-0.02187	0.00244
0.14000	0.00806	-0.00307	-0.00065	0.00005	0.00086	-3.69820	-89.55000	0.12343	-0.07901	-0.25437	0.00771	-0.02187	0.00244
0.14200	0.00806	-0.00307	-0.00065	0.00005	0.00086	-3.69820	-89.64000	0.12343	-0.07901	-0.25437	0.00771	-0.02187	0.00244
0.14400	0.00822	-0.00172	-0.00177	0.00016	-0.00001	-3.69820	-89.73000	0.02407	-0.17233	0.03156	-0.02770	0.02011	0.00228
0.14600	0.00822	-0.00172	-0.00177	0.00016	-0.00001	-3.78840	-89.91000	0.02407	-0.17233	0.03156	-0.02770	0.02011	0.00228
