/***********************************************************
* Ocean Resources and Renewable Energy Laboratory
* Version: v1.0 (Released on May 1st, 2021)
* Programmed by: Jessica Nguyen (Email: nvnguyen@umass.edu)
*----------------------------------------------------------
* Project Name:	NREL_VGOSWEC_waveenergyprize_VGM20
* Project Lead:	JD
* Labview Operator:	JD
* Comments:	VGOSWEC scale model with 5.25" diameter cylindrical foundation and three pairs of opposing torsional springs. Model centered in window 2,  193.5 in from the start of the tank; probe positions: probe 1 (staff, front) - 134 in; probe 2 (sonic, alongside) - 193.5 in; probe 3 (staff, behind) - 274.5 in ; probe 4 (sonic, behind) - 332.5 in. Data aquisition specifications: wave start time: 0 s; wave end time: 40 s; delta t: 0.05; ramp time: 3 s; end time delay: 20 s; sampling rate: 2 ms. Kistler force cal factor: 1 V/N (X), 1 V/N (Y), 1 V/N (Z); Kistler moment cal factor: 1 V/Nm (Y), 1  V Nm (X,Z). Naming convention: T(period)_A(actuator amp)_B(beach distance)_VGM(variable geometry module angle).
* Date and Time:	Thu 17 Jun 2021 08:16:59 PM EDT
***********************************************************/

"Time(s)"	"ActuatorPos(mm)"	"WP1(m)"	"WP2(m)"	"WP3(m)"	"WP4(m)"	"Roll(deg)"	"Pitch(deg)"	"ForceX(N)"	"ForceY(N)"	"ForceZ(N)"	"MomentX"	"MomentY"	"MomentZ"	
0.00000	-0.00004	-2.04004	-1.96297	-0.47417	-0.44938	-3.96880	-89.91000	0.01549	-0.02860	-0.03307	-0.00500	-0.01210	-0.00356
0.00200	0.00000	-2.04004	-1.96297	-0.47417	-0.44938	-3.96880	-89.91000	0.01549	-0.02860	-0.03307	-0.00500	-0.01210	-0.00356
0.00400	0.00000	-2.04004	-1.96297	-0.47417	-0.44938	-3.87860	-89.82000	0.01549	-0.02860	-0.03307	-0.00500	-0.01210	-0.00356
0.00600	0.00000	-2.04004	-1.96297	-0.47417	-0.44938	-3.78840	-89.82000	0.01549	-0.02860	-0.03307	-0.00500	-0.01210	-0.00356
0.00800	0.00000	-2.04004	-1.96297	-0.47417	-0.44938	-3.78840	-89.82000	0.01549	-0.02860	-0.03307	-0.00500	-0.01210	-0.00356
0.01000	0.00000	-0.00071	0.00267	0.00197	-0.00026	-3.78840	-89.82000	0.00957	0.05967	-0.03907	0.00853	0.00648	0.00607
0.01200	0.00000	-0.00071	0.00267	0.00197	-0.00026	-3.69820	-89.82000	0.00957	0.05967	-0.03907	0.00853	0.00648	0.00607
0.01400	0.00869	-0.00071	0.00267	0.00197	-0.00026	0.00000	0.00000	0.00957	0.05967	-0.03907	0.00853	0.00648	0.00607
0.01600	0.00869	-0.00071	0.00267	0.00197	-0.00026	0.00000	0.00000	0.00957	0.05967	-0.03907	0.00853	0.00648	0.00607
0.01800	0.00869	-0.00000	0.00065	0.00049	-0.00279	-3.87860	-89.73000	0.03723	0.02161	-0.13469	0.01450	-0.00956	-0.00792
0.02000	0.00869	-0.00000	0.00065	0.00049	-0.00279	-3.96880	-89.82000	0.03723	0.02161	-0.13469	0.01450	-0.00956	-0.00792
0.02200	0.00869	-0.00000	0.00065	0.00049	-0.00279	-4.05900	-89.82000	0.03723	0.02161	-0.13469	0.01450	-0.00956	-0.00792
0.02400	0.00885	-0.00000	0.00065	0.00049	-0.00279	0.00000	0.00000	0.03723	0.02161	-0.13469	0.01450	-0.00956	-0.00792
0.02600	0.00885	0.00023	0.00195	-0.00059	-0.00268	-3.87860	-89.73000	0.02654	-0.07109	-0.12215	-0.00401	-0.01840	-0.00823
0.02800	0.00885	0.00023	0.00195	-0.00059	-0.00268	-3.78840	-89.46000	0.02654	-0.07109	-0.12215	-0.00401	-0.01840	-0.00823
0.03000	0.00885	0.00023	0.00195	-0.00059	-0.00268	-3.69820	-89.46000	0.02654	-0.07109	-0.12215	-0.00401	-0.01840	-0.00823
0.03200	0.00885	0.00023	0.00195	-0.00059	-0.00268	-3.78840	-89.55000	0.02654	-0.07109	-0.12215	-0.00401	-0.01840	-0.00823
0.03400	0.00895	0.00179	0.00104	-0.00024	-0.00005	-3.96880	-89.64000	0.04186	-0.06986	0.06734	-0.01707	-0.02108	0.00093
0.03600	0.00895	0.00179	0.00104	-0.00024	-0.00005	-3.87860	-89.73000	0.04186	-0.06986	0.06734	-0.01707	-0.02108	0.00093
0.03800	0.00895	0.00179	0.00104	-0.00024	-0.00005	-3.87860	-89.82000	0.04186	-0.06986	0.06734	-0.01707	-0.02108	0.00093
0.04000	0.00895	0.00179	0.00104	-0.00024	-0.00005	-3.96880	-89.82000	0.04186	-0.06986	0.06734	-0.01707	-0.02108	0.00093
0.04200	0.00895	0.00046	0.00112	-0.00053	0.00143	-4.05900	-89.82000	0.00514	-0.04846	0.02755	0.00216	-0.00864	-0.01389
0.04400	0.00903	0.00046	0.00112	-0.00053	0.00143	-4.05900	-89.91000	0.00514	-0.04846	0.02755	0.00216	-0.00864	-0.01389
0.04600	0.00903	0.00046	0.00112	-0.00053	0.00143	-3.87860	-89.91000	0.00514	-0.04846	0.02755	0.00216	-0.00864	-0.01389
0.04800	0.00903	0.00046	0.00112	-0.00053	0.00143	-3.78840	-89.82000	0.00514	-0.04846	0.02755	0.00216	-0.00864	-0.01389
0.05000	0.00903	0.00090	-0.00045	-0.00112	0.00199	-3.78840	-89.73000	0.07221	-0.00535	-0.00442	0.01388	0.00411	-0.00720
0.05200	0.00903	0.00090	-0.00045	-0.00112	0.00199	-3.78840	-89.64000	0.07221	-0.00535	-0.00442	0.01388	0.00411	-0.00720
0.05400	0.00908	0.00090	-0.00045	-0.00112	0.00199	-3.87860	-89.64000	0.07221	-0.00535	-0.00442	0.01388	0.00411	-0.00720
0.05600	0.00908	0.00090	-0.00045	-0.00112	0.00199	-3.96880	-89.73000	0.07221	-0.00535	-0.00442	0.01388	0.00411	-0.00720
0.05800	0.00908	0.00009	0.00173	-0.00133	-0.00062	-4.05900	-89.82000	0.07221	-0.00535	-0.00442	0.01388	0.00411	-0.00720
0.06000	0.00908	0.00369	-0.00024	0.00047	-0.00281	-3.96880	-89.82000	0.05256	-0.01214	0.07547	0.00617	-0.00853	-0.01121
0.06200	0.00908	0.00369	-0.00024	0.00047	-0.00281	-3.96880	-89.91000	0.05256	-0.01214	0.07547	0.00617	-0.00853	-0.01121
0.06400	0.00911	0.00369	-0.00024	0.00047	-0.00281	0.00000	0.00000	0.05256	-0.01214	0.07547	0.00617	-0.00853	-0.01121
0.06600	0.00911	0.00369	-0.00024	0.00047	-0.00281	-3.87860	-89.91000	0.05256	-0.01214	0.07547	0.00617	-0.00853	-0.01121
0.06800	0.00911	0.00107	0.00024	0.00049	-0.00240	-3.87860	-89.91000	0.04567	0.02901	-0.08369	-0.00329	-0.02632	0.01039
0.07000	0.00911	0.00107	0.00024	0.00049	-0.00240	-3.78840	-89.73000	0.04567	0.02901	-0.08369	-0.00329	-0.02632	0.01039
0.07200	0.00911	0.00107	0.00024	0.00049	-0.00240	0.00000	0.00000	0.04567	0.02901	-0.08369	-0.00329	-0.02632	0.01039
0.07400	0.00912	0.00107	0.00024	0.00049	-0.00240	-3.96880	-89.64000	0.04567	0.02901	-0.08369	-0.00329	-0.02632	0.01039
0.07600	0.00912	0.00015	0.00167	-0.00021	-0.00079	-3.96880	-89.64000	0.03199	-0.00998	-0.13746	0.01121	-0.01552	0.00093
0.07800	0.00912	0.00015	0.00167	-0.00021	-0.00079	-3.96880	-89.55000	0.03199	-0.00998	-0.13746	0.01121	-0.01552	0.00093
0.08000	0.00912	0.00015	0.00167	-0.00021	-0.00079	0.00000	0.00000	0.03199	-0.00998	-0.13746	0.01121	-0.01552	0.00093
0.08200	0.00912	0.00015	0.00167	-0.00021	-0.00079	-3.87860	-89.64000	0.03199	-0.00998	-0.13746	0.01121	-0.01552	0.00093
0.08400	0.00912	0.00027	0.00060	-0.00012	0.00315	-3.87860	-89.73000	0.00411	-0.04496	-0.09644	-0.00051	-0.00936	0.00586
0.08600	0.00912	0.00027	0.00060	-0.00012	0.00315	-3.87860	0.00000	0.00411	-0.04496	-0.09644	-0.00051	-0.00936	0.00586
0.08800	0.00912	0.00027	0.00060	-0.00012	0.00315	0.00000	0.00000	0.00411	-0.04496	-0.09644	-0.00051	-0.00936	0.00586
0.09000	0.00912	0.00027	0.00060	-0.00012	0.00315	-3.96880	-89.73000	0.00411	-0.04496	-0.09644	-0.00051	-0.00936	0.00586
0.09200	0.00912	0.00048	0.00132	-0.00123	0.00101	-3.87860	-89.82000	0.01646	-0.11410	-0.08822	-0.00864	-0.00956	-0.00381
0.09400	0.00911	0.00048	0.00132	-0.00123	0.00101	-3.87860	0.00000	0.01646	-0.11410	-0.08822	-0.00864	-0.00956	-0.00381
0.09600	0.00911	0.00048	0.00132	-0.00123	0.00101	0.00000	0.00000	0.01646	-0.11410	-0.08822	-0.00864	-0.00956	-0.00381
0.09800	0.00911	0.00048	0.00132	-0.00123	0.00101	-4.05900	-89.55000	0.01646	-0.11410	-0.08822	-0.00864	-0.00956	-0.00381
0.10000	0.00911	0.00060	0.00040	-0.00123	0.00137	-4.05900	-89.64000	0.01646	-0.11410	-0.08822	-0.00864	-0.00956	-0.00381
0.10200	0.00911	0.00009	0.00283	-0.00103	0.00097	-3.78840	-89.64000	-0.02109	-0.08138	0.03434	-0.00792	-0.01851	0.00062
0.10400	0.00907	0.00009	0.00283	-0.00103	0.00097	-3.78840	-89.82000	-0.02109	-0.08138	0.03434	-0.00792	-0.01851	0.00062
0.10600	0.00907	0.00009	0.00283	-0.00103	0.00097	-3.78840	-89.82000	-0.02109	-0.08138	0.03434	-0.00792	-0.01851	0.00062
0.10800	0.00907	0.00009	0.00283	-0.00103	0.00097	-3.78840	-89.82000	-0.02109	-0.08138	0.03434	-0.00792	-0.01851	0.00062
0.11000	0.00907	-0.00062	0.00011	-0.00040	0.00323	-3.87860	-89.82000	0.08321	0.03673	-0.00144	0.01111	-0.01018	0.00113
