/***********************************************************
* Ocean Resources and Renewable Energy Laboratory
* Version: v1.0 (Released on May 1st, 2021)
* Programmed by: Jessica Nguyen (Email: nvnguyen@umass.edu)
*----------------------------------------------------------
* Project Name:	NREL_VGOSWEC_waveenergyprize_VGM20
* Project Lead:	JD
* Labview Operator:	JD
* Comments:	VGOSWEC scale model with 5.25" diameter cylindrical foundation and three pairs of opposing torsional springs. Model centered in window 2,  193.5 in from the start of the tank; probe positions: probe 1 (staff, front) - 134 in; probe 2 (sonic, alongside) - 193.5 in; probe 3 (staff, behind) - 274.5 in ; probe 4 (sonic, behind) - 332.5 in. Data aquisition specifications: wave start time: 0 s; wave end time: 40 s; delta t: 0.05; ramp time: 3 s; end time delay: 20 s; sampling rate: 2 ms. Kistler force cal factor: 1 V/N (X), 1 V/N (Y), 0.6667 V/N (Z); Kistler moment cal factor: 1 V/Nm (Y), 1  V Nm (X,Z). Naming convention: T(period)_A(actuator amp)_B(beach distance)_VGM(variable geometry module angle).
* Date and Time:	Thu 17 Jun 2021 08:25:56 PM EDT
***********************************************************/

"Time(s)"	"ActuatorPos(mm)"	"WP1(m)"	"WP2(m)"	"WP3(m)"	"WP4(m)"	"Roll(deg)"	"Pitch(deg)"	"ForceX(N)"	"ForceY(N)"	"ForceZ(N)"	"MomentX"	"MomentY"	"MomentZ"	
0.00000	-0.00002	-2.04004	-1.96297	-0.47417	-0.44938	0.00000	0.00000	0.01549	-0.02860	-0.03307	-0.00500	-0.01210	-0.00356
0.00200	-0.00002	-2.04004	-1.96297	-0.47417	-0.44938	-3.78840	-89.73000	0.01549	-0.02860	-0.03307	-0.00500	-0.01210	-0.00356
0.00400	0.00000	-2.04004	-1.96297	-0.47417	-0.44938	0.00000	0.00000	0.01549	-0.02860	-0.03307	-0.00500	-0.01210	-0.00356
0.00600	0.00000	-2.04004	-1.96297	-0.47417	-0.44938	-4.05900	-89.91000	0.01549	-0.02860	-0.03307	-0.00500	-0.01210	-0.00356
0.00800	0.01485	-2.04004	-1.96297	-0.47417	-0.44938	-4.14920	-90.00000	0.01549	-0.02860	-0.03307	-0.00500	-0.01210	-0.00356
0.01000	0.01485	-0.00056	-0.00144	-0.00089	0.00128	-4.05900	-89.91000	0.01549	-0.02860	-0.03307	-0.00500	-0.01210	-0.00356
0.01200	0.01485	-0.00056	-0.00144	-0.00089	0.00128	-3.96880	-89.91000	-0.01214	0.00195	-0.26001	-0.00483	0.00792	0.00432
0.01400	0.01485	-0.00056	-0.00144	-0.00089	0.00128	-3.69820	-89.91000	-0.01214	0.00195	-0.26001	-0.00483	0.00792	0.00432
0.01600	0.01485	-0.00283	-0.00178	-0.00050	0.00109	-3.60800	-89.82000	-0.01214	0.00195	-0.26001	-0.00483	0.00792	0.00432
0.01800	0.01510	-0.00283	-0.00178	-0.00050	0.00109	-3.69820	-89.64000	-0.01214	0.00195	-0.26001	-0.00483	0.00792	0.00432
0.02000	0.01510	-0.00233	-0.00227	0.00050	0.00122	-3.60800	-89.55000	0.08342	-0.27469	-0.15329	-0.01553	0.01337	0.00288
0.02200	0.01510	-0.00233	-0.00227	0.00050	0.00122	-3.69820	-89.46000	0.08342	-0.27469	-0.15329	-0.01553	0.01337	0.00288
0.02400	0.01510	-0.00233	-0.00227	0.00050	0.00122	-3.78840	-89.55000	0.08342	-0.27469	-0.15329	-0.01553	0.01337	0.00288
0.02600	0.01510	-0.00233	-0.00227	0.00050	0.00122	-4.05900	-89.64000	0.08342	-0.27469	-0.15329	-0.01553	0.01337	0.00288
0.02800	0.01572	-0.00273	-0.00134	0.00022	0.00150	-4.05900	-89.64000	-0.03960	-0.19280	0.26988	-0.03363	0.01326	-0.00535
0.03000	0.01572	-0.00210	-0.00183	0.00085	0.00202	-3.96880	-89.73000	-0.03960	-0.19280	0.26988	-0.03363	0.01326	-0.00535
0.03200	0.01572	-0.00210	-0.00183	0.00085	0.00202	-3.78840	-89.73000	-0.03960	-0.19280	0.26988	-0.03363	0.01326	-0.00535
0.03400	0.01572	-0.00210	-0.00183	0.00085	0.00202	-3.78840	-89.82000	-0.03960	-0.19280	0.26988	-0.03363	0.01326	-0.00535
0.03600	0.01572	-0.00210	-0.00183	0.00085	0.00202	-3.69820	-89.91000	-0.03960	-0.19280	0.26988	-0.03363	0.01326	-0.00535
0.03800	0.01636	-0.00176	-0.00169	0.00071	0.00113	-3.60800	-89.91000	-0.03939	0.06903	-0.13340	-0.00216	0.02920	-0.00062
