/***********************************************************
* Ocean Resources and Renewable Energy Laboratory
* Version: v1.0 (Released on May 1st, 2021)
* Programmed by: Jessica Nguyen (Email: nvnguyen@umass.edu)
*----------------------------------------------------------
* Project Name:	NREL_VGOSWEC_waveenergyprize_VGM20
* Project Lead:	JD
* Labview Operator:	JD
* Comments:	VGOSWEC scale model with 5.25" diameter cylindrical foundation and three pairs of opposing torsional springs. Model centered in window 2,  193.5 in from the start of the tank; probe positions: probe 1 (staff, front) - 134 in; probe 2 (sonic, alongside) - 193.5 in; probe 3 (staff, behind) - 274.5 in ; probe 4 (sonic, behind) - 332.5 in. Data aquisition specifications: wave start time: 0 s; wave end time: 40 s; delta t: 0.05; ramp time: 3 s; end time delay: 20 s; sampling rate: 2 ms. Kistler force cal factor: 1 V/N (X), 1 V/N (Y), 1 V/N (Z); Kistler moment cal factor: 1 V/Nm (Y), 1  V Nm (X,Z). Naming convention: T(period)_A(actuator amp)_B(beach distance)_VGM(variable geometry module angle).
* Date and Time:	Thu 17 Jun 2021 08:20:46 PM EDT
***********************************************************/

"Time(s)"	"ActuatorPos(mm)"	"WP1(m)"	"WP2(m)"	"WP3(m)"	"WP4(m)"	"Roll(deg)"	"Pitch(deg)"	"ForceX(N)"	"ForceY(N)"	"ForceZ(N)"	"MomentX"	"MomentY"	"MomentZ"	
0.00000	-0.00005	-2.04004	-1.96297	-0.47417	-0.44938	0.00000	0.00000	0.01549	-0.02860	-0.03307	-0.00500	-0.01210	-0.00356
0.00200	-0.00005	-2.04004	-1.96297	-0.47417	-0.44938	-4.14920	-89.91000	0.01549	-0.02860	-0.03307	-0.00500	-0.01210	-0.00356
0.00600	0.01480	-2.04004	-1.96297	-0.47417	-0.44938	-4.23940	-89.91000	0.01549	-0.02860	-0.03307	-0.00500	-0.01210	-0.00356
0.00800	0.01480	-2.04004	-1.96297	-0.47417	-0.44938	-4.05900	-89.91000	0.01549	-0.02860	-0.03307	-0.00500	-0.01210	-0.00356
0.01000	0.01480	0.00022	0.00066	0.00070	0.00128	-3.96880	-89.82000	0.01549	-0.02860	-0.03307	-0.00500	-0.01210	-0.00356
0.01200	0.01480	0.00022	0.00066	0.00070	0.00128	-3.87860	-89.73000	0.01549	-0.02860	-0.03307	-0.00500	-0.01210	-0.00356
0.01400	0.01480	-0.00010	0.00176	-0.00009	0.00095	-3.78840	-89.64000	0.09391	-0.20010	-0.23730	-0.03280	-0.03095	0.00010
0.01600	0.01496	-0.00010	0.00176	-0.00009	0.00095	-3.78840	-89.55000	0.09391	-0.20010	-0.23730	-0.03280	-0.03095	0.00010
0.01800	0.01496	-0.00010	0.00176	-0.00009	0.00095	-3.87860	-89.55000	0.09391	-0.20010	-0.23730	-0.03280	-0.03095	0.00010
0.02000	0.01496	-0.00010	0.00176	-0.00009	0.00095	-3.96880	-89.46000	0.09391	-0.20010	-0.23730	-0.03280	-0.03095	0.00010
