/***********************************************************
* Ocean Resources and Renewable Energy Laboratory
* Version: v1.0 (Released on May 1st, 2021)
* Programmed by: Jessica Nguyen (Email: nvnguyen@umass.edu)
*----------------------------------------------------------
* Project Name:	NREL_VGOSWEC_waveenergyprize_VGM90
* Project Lead:	JD
* Labview Operator:	JD
* Comments:	VGOSWEC scale model with 5.25" diameter cylindrical foundation and three pairs of opposing torsional springs. Model centered in window 2,  193.5 in from the start of the tank; probe positions: probe 1 (staff, front) - 134 in; probe 2 (sonic, alongside) - 193.5 in; probe 3 (staff, behind) - 274.5 in ; probe 4 (sonic, behind) - 332.5 in. Data aquisition specifications: wave start time: 0 s; wave end time: 40 s; delta t: 0.05; ramp time: 3 s; end time delay: 20 s; sampling rate: 2 ms. Kistler force cal factor: 1 V/N (X), 1 V/N (Y), 1 V/N (Z); Kistler moment cal factor: 1  V/Nm (Y), 1  V Nm (X,Z). Naming convention: T(period)_A(actuator amp)_B(beach distance)_VGM(variable geometry module angle).
* Date and Time:	Wed 16 Jun 2021 09:00:51 PM EDT
***********************************************************/

"Time(s)"	"ActuatorPos(mm)"	"WP1(m)"	"WP2(m)"	"WP3(m)"	"WP4(m)"	"Roll(deg)"	"Pitch(deg)"	"ForceX(N)"	"ForceY(N)"	"ForceZ(N)"	"MomentX"	"MomentY"	"MomentZ"	
0.00000	0.00004	-2.04004	-1.96297	-0.47417	-0.44938	0.00000	0.00000	0.05715	0.01729	-0.02793	0.00292	-0.02280	-0.00479
0.00200	0.00000	-2.04004	-1.96297	-0.47417	-0.44938	-3.78840	-89.73000	0.05715	0.01729	-0.02793	0.00292	-0.02280	-0.00479
0.00400	0.00000	-2.04004	-1.96297	-0.47417	-0.44938	-3.69820	-89.82000	0.05715	0.01729	-0.02793	0.00292	-0.02280	-0.00479
0.00600	0.00000	-2.04004	-1.96297	-0.47417	-0.44938	-3.69820	-89.73000	0.05715	0.01729	-0.02793	0.00292	-0.02280	-0.00479
0.00800	0.00000	-2.04004	-1.96297	-0.47417	-0.44938	-3.78840	-89.73000	0.05715	0.01729	-0.02793	0.00292	-0.02280	-0.00479
0.01000	0.00000	0.00079	0.00100	0.00046	-0.00418	-3.87860	-89.73000	-0.01409	0.12942	0.01840	0.01378	-0.01676	-0.01090
0.01200	0.00472	0.00079	0.00100	0.00046	-0.00418	-3.78840	-89.64000	-0.01409	0.12942	0.01840	0.01378	-0.01676	-0.01090
0.01400	0.00472	0.00079	0.00100	0.00046	-0.00418	-3.78840	-89.64000	-0.01409	0.12942	0.01840	0.01378	-0.01676	-0.01090
0.01600	0.00472	0.00079	0.00100	0.00046	-0.00418	-3.69820	-89.55000	-0.01409	0.12942	0.01840	0.01378	-0.01676	-0.01090
0.01800	0.00472	0.00223	0.00269	0.00360	0.00170	-3.69820	-89.64000	0.07951	0.07058	-0.04544	0.00504	-0.04678	-0.00463
0.02000	0.00472	0.00223	0.00269	0.00360	0.00170	-3.78840	-89.73000	0.07951	0.07058	-0.04544	0.00504	-0.04678	-0.00463
0.02200	0.00493	0.00223	0.00269	0.00360	0.00170	-3.78840	-89.82000	0.07951	0.07058	-0.04544	0.00504	-0.04678	-0.00463
0.02400	0.00493	0.00223	0.00269	0.00360	0.00170	-3.78840	-89.82000	0.07951	0.07058	-0.04544	0.00504	-0.04678	-0.00463
0.02600	0.00493	0.00084	0.00119	0.00059	0.00203	-3.78840	-89.73000	0.12950	-0.01862	-0.12513	-0.00267	-0.02879	0.00710
0.02800	0.00493	0.00084	0.00119	0.00059	0.00203	-3.78840	-89.73000	0.12950	-0.01862	-0.12513	-0.00267	-0.02879	0.00710
